,Title,Date_upload,Views,Likes,Month
604,Dr Uma Jaidev - MBA CO-Ordinator VIT,2018-03-07,1626,20,Mar
605,VITBS Dean Interview,2018-02-28,958,12,Feb
606,"Prof. Murali Manohar, Admission Coordinator VIT BS and Director, Library",2018-02-26,1209,17,Feb
607,Riviera 2018,2018-02-26,3842,57,Feb
608,IEEE-VIT's premier cryptic hunt!,2018-02-21,522,8,Feb
609,Pravega Racing Video,2018-02-20,2174,25,Feb
610,Inaugural ceremony of Riviera  2018.,2018-02-15,580,3,Feb
611,A glimpse of Riviera 2018- Marathon.,2018-02-15,990,12,Feb
612,A glimpse of Riviera 2018- Marathon.,2018-02-15,1356,20,Feb
613,VITBS 2018,2018-02-14,6567,78,Feb
614,Valedictory- NSS 2018 - VIT,2018-02-14,827,23,Feb
615,Open House Interviews,2018-02-05,553,10,Feb
616,Zephyrus,2018-02-03,1640,96,Feb
617,new open house 1,2018-02-01,815,17,Feb
618,Republic Day 2018,2018-01-26,1596,57,Jan
619,TU final,2018-01-16,1225,26,Jan
620,VIT VIDEO 2018,2018-01-10,41250,556,Jan
621,VIT VIDEO WITH NEW LOGO mp4,2018-01-10,3702,50,Jan
622,Dr. G.Viswanathan Chancellor VIT University,2017-12-19,2902,29,Dec
623,JMEV4161,2017-12-04,1225,6,Dec
624,"VIT University, 32nd Annual Convocation - Chief Guest Speech",2017-10-08,7229,64,Oct
625,Watch the after movie- graVITas'17,2017-09-25,2670,16,Sep
626,Riviera' 18 Teaser,2017-09-24,3601,36,Sep
627,VIT Unplugged - Official Riviera'16 After Movie,2016-02-20,91893,1196,Feb
628,VIT University - A place to learn. A chance to grow,2016-02-02,123760,772,Feb
629,Be the change,2016-01-25,1533,31,Jan
630,VITian and Proud #1,2015-11-13,12021,177,Nov
631,VIT University - Chennai campus,2015-11-13,227269,1576,Nov
632,VIT University - A place to learn  A chance to grow,2015-10-26,1681,18,Oct
633,The graVITas '15 fun song,2015-09-26,1657,19,Sep
634,It's A Way Of Life - Team Jaabaz,2015-05-06,597,4,May
635,"Pravega Racing - FSG 2014, Germany",2015-05-06,5749,63,May
636,VIT Unplugged - Motorsports,2015-04-29,11601,180,Apr
637,"Team OJAS - Fuelled by Innovation, Driven by Determination",2015-04-27,2829,23,Apr
638,VIT University,2015-04-16,3136,27,Apr
639,VIT Unplugged - Like never seen before,2015-02-27,98264,655,Feb
